Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Population municipale 2021
02156;Chalandry;250
02157;Chambry;832
02158;Chamouille;270
02159;Champs;304
02160;Chaourse;512
02162;La Chapelle-sur-Chézy;298
02163;Charly-sur-Marne;2581
02164;Le Charmel;326
02165;Charmes;1624
02166;Chartèves;358
02167;Chassemy;886
02168;Château-Thierry;15204
02169;Châtillon-lès-Sons;84
02170;Châtillon-sur-Oise;124
02171;Chaudardes;90
02172;Chaudun;251
02173;Chauny;11496
02174;Chavignon;841
02175;Chavigny;165
02176;Chavonne;207
02177;Chérêt;144
02178;Chermizy-Ailles;115
02179;Chéry-Chartreuve;379
02180;Chéry-lès-Pouilly;736
02181;Chéry-lès-Rozoy;91
02182;Chevennes;121
02183;Chevregny;185
02184;Chevresis-Monceau;340
02185;Chézy-en-Orxois;380
02186;Chézy-sur-Marne;1322
02187;Chierry;1157
02188;Chigny;143
02189;Chivres-en-Laonnois;349
02190;Chivres-Val;527
02191;Chivy-lès-Étouvelles;500
02192;Chouy;375
02193;Cierges;66
02194;Cilly;177
02195;Ciry-Salsogne;896
02196;Clacy-et-Thierret;300
02197;Clairfontaine;525
02198;Clamecy;233
02199;Clastres;593
02200;Clermont-les-Fermes;101
02201;Cœuvres-et-Valsery;458
02203;Coincy;1253
02204;Coingt;63
02205;Colligis-Crandelain;213
02206;Colonfay;73
02207;Commenchon;218
02208;Concevreux;260
02209;Condé-en-Brie;675
02210;Condé-sur-Aisne;358
02211;Condé-sur-Suippe;327
02212;Condren;692
02213;Connigis;330
02214;Contescourt;61
02215;Corbeny;846
02216;Corcy;304
02217;Coucy-le-Château-Auffrique;987
02218;Coucy-lès-Eppes;646
02219;Coucy-la-Ville;195
02220;Coulonges-Cohan;442
02221;Coupru;156
02222;Courbes;37
02223;Courboin;302
02224;Courcelles-sur-Vesle;344
02225;Courchamps;83
02226;Courmelles;1854
02227;Courmont;121
02228;Courtemont-Varennes;349
02229;Courtrizy-et-Fussigny;75
02230;Couvrelles;180
02231;Couvron-et-Aumencourt;936
02232;Coyolles;365
02233;Cramaille;139
02234;Craonne;83
02235;Craonnelle;114
02236;Crécy-au-Mont;326
02237;Crécy-sur-Serre;1503
02238;Crépy;1803
02239;Crézancy;1220
02240;Croix-Fonsomme;192
02241;La Croix-sur-Ourcq;90
02242;Crouttes-sur-Marne;624
02243;Crouy;2999
02244;Crupilly;64
02245;Cuffies;1787
02246;Cugny;603
02248;Cuirieux;155
02249;Cuiry-Housse;101
02250;Cuiry-lès-Chaudardes;76
02251;Cuiry-lès-Iviers;26
02252;Cuissy-et-Geny;71
02253;Cuisy-en-Almont;355
02254;Cutry;127
02255;Cys-la-Commune;157
02256;Dagny-Lambercy;128
02257;Dallon;438
02258;Dammard;372
02259;Dampleux;386
02260;Danizy;639
02261;Dercy;388
02262;Deuillet;207
02263;Dhuizel;113
02264;Dizy-le-Gros;726
02265;Dohis;88
02266;Dolignon;40
02267;Dommiers;301
02268;Domptin;625
02269;Dorengt;152
02270;Douchy;165
02271;Dravegny;130
02272;Droizy;76
02273;Dury;196
02274;Ébouleau;183
02275;Effry;316
02276;Englancourt;117
02277;Épagny;341
02278;Éparcy;32
02279;Épaux-Bézu;544
02280;Épieds;410
02281;L'Épine-aux-Bois;249
02282;Eppes;432
02283;Erlon;284
02284;Erloy;102
02286;Esquéhéries;855
02287;Essigny-le-Grand;1054
02288;Essigny-le-Petit;347
02289;Essises;411
02290;Essômes-sur-Marne;2719
02291;Estrées;409
02292;Étampes-sur-Marne;1335
02293;Étaves-et-Bocquiaux;548
